entity_a,entity_b,weight,level
Sixth Assessment Report,COP,1.0,document
Sixth Assessment Report,1.5 degrees,1.0,document
Sixth Assessment Report,March 2023,1.0,document
Sixth Assessment Report,2030,1.0,document
Sixth Assessment Report,Antonio Guterres,1.0,document
Sixth Assessment Report,IPCC,1.0,document
COP,1.5 degrees,1.0,document
COP,March 2023,1.0,document
COP,2030,1.0,document
COP,Antonio Guterres,1.0,document
COP,IPCC,1.0,document
1.5 degrees,March 2023,1.0,document
1.5 degrees,2030,2.0,document
1.5 degrees,Antonio Guterres,1.0,document
1.5 degrees,IPCC,1.0,document
March 2023,2030,1.0,document
March 2023,Antonio Guterres,1.0,document
March 2023,IPCC,1.0,document
2030,Antonio Guterres,1.0,document
2030,IPCC,2.0,document
Antonio Guterres,IPCC,1.0,document
Sixth Assessment Report,1.5 degrees,2.0,sentence
Sixth Assessment Report,March 2023,2.0,sentence
Sixth Assessment Report,2030,2.0,sentence
Sixth Assessment Report,IPCC,2.0,sentence
1.5 degrees,March 2023,2.0,sentence
1.5 degrees,2030,4.0,sentence
1.5 degrees,IPCC,2.0,sentence
March 2023,2030,2.0,sentence
March 2023,IPCC,2.0,sentence
2030,IPCC,2.0,sentence
COP,Antonio Guterres,2.0,sentence
two weeks,The United Arab Emirates,1.0,document
two weeks,Dubai,1.0,document
two weeks,190,1.0,document
two weeks,2030,1.0,document
The United Arab Emirates,Dubai,1.0,document
The United Arab Emirates,190,1.0,document
The United Arab Emirates,2030,1.0,document
Dubai,190,1.0,document
Dubai,2030,1.0,document
190,2030,1.0,document
Dubai,190,2.0,sentence
two weeks,The United Arab Emirates,2.0,sentence
$12.5 billion,The World Bank,1.0,document
$12.5 billion,World Bank,1.0,document
$12.5 billion,June 2024,1.0,document
$12.5 billion,Sub-Saharan Africa,1.0,document
$12.5 billion,Ajay Banga,1.0,document
$12.5 billion,South Asia,1.0,document
The World Bank,World Bank,1.0,document
The World Bank,June 2024,1.0,document
The World Bank,Sub-Saharan Africa,1.0,document
The World Bank,Ajay Banga,1.0,document
The World Bank,South Asia,1.0,document
World Bank,June 2024,1.0,document
World Bank,Sub-Saharan Africa,1.0,document
World Bank,Ajay Banga,1.0,document
World Bank,South Asia,1.0,document
June 2024,Sub-Saharan Africa,1.0,document
June 2024,Ajay Banga,1.0,document
June 2024,South Asia,1.0,document
Sub-Saharan Africa,Ajay Banga,1.0,document
Sub-Saharan Africa,South Asia,1.0,document
Ajay Banga,South Asia,1.0,document
$12.5 billion,The World Bank,2.0,sentence
$12.5 billion,June 2024,2.0,sentence
$12.5 billion,Sub-Saharan Africa,2.0,sentence
$12.5 billion,South Asia,2.0,sentence
The World Bank,June 2024,2.0,sentence
The World Bank,Sub-Saharan Africa,2.0,sentence
The World Bank,South Asia,2.0,sentence
June 2024,Sub-Saharan Africa,2.0,sentence
June 2024,South Asia,2.0,sentence
Sub-Saharan Africa,South Asia,2.0,sentence
World Bank,Ajay Banga,2.0,sentence
31%,the European Union,1.0,document
31%,2022,1.0,document
31%,2030,1.0,document
31%,Jordan,1.0,document
31%,The Ministry of Environment,1.0,document
31%,National Climate Change Policy,1.0,document
31%,UNDP,1.0,document
the European Union,2022,2.0,document
the European Union,2030,1.0,document
the European Union,Jordan,1.0,document
the European Union,The Ministry of Environment,1.0,document
the European Union,National Climate Change Policy,1.0,document
the European Union,UNDP,1.0,document
2022,2030,3.0,document
2022,Jordan,1.0,document
2022,The Ministry of Environment,1.0,document
2022,National Climate Change Policy,1.0,document
2022,UNDP,1.0,document
2030,Jordan,4.0,document
2030,The Ministry of Environment,1.0,document
2030,National Climate Change Policy,1.0,document
2030,UNDP,1.0,document
Jordan,The Ministry of Environment,1.0,document
Jordan,National Climate Change Policy,1.0,document
Jordan,UNDP,1.0,document
The Ministry of Environment,National Climate Change Policy,1.0,document
The Ministry of Environment,UNDP,1.0,document
National Climate Change Policy,UNDP,1.0,document
31%,2022,2.0,sentence
